associate.taxon1,associate.taxon2
2315,1932
2429,1932
2315,2055
2340,2055
2393,2055
2326,2055
2429,1936
2340,1936
2393,1936
2374,1936
2356,1936
2302,1936
2410,1936
2420,1936
2418,1936
2428,1936
2306,1936
2308,1936
2404,1936
2351,1936
2377,1936
2370,1936
2322,1936
2318,1936
2386,1936
2342,1936
2333,1936
2429,2007
2374,2007
2410,2007
2420,2007
2418,2007
2428,2007
2308,2007
2351,2007
2411,2007
2322,2007
2429,1749
2340,1749
2393,1749
2302,1749
2396,1749
2361,1749
2386,1749
2333,1749
2337,1749
2346,1749
2390,1749
2414,1749
2429,1889
2340,1889
2356,1889
2420,1889
2361,1889
2428,1889
2404,1889
2391,1889
2331,1889
2429,2072
2340,2072
2393,2072
2326,2072
2356,2072
2420,2072
2361,2072
2428,2072
2404,2072
2391,2072
2384,2072
2351,2072
2377,2072
2370,2072
2318,2072
2386,2072
2430,2072
2429,2057
2340,2057
2393,2057
2356,2057
2302,2057
2420,2057
2418,2057
2361,2057
2428,2057
2404,2057
2391,2057
2351,2057
2377,2057
2370,2057
2411,2057
2337,2057
2390,2057
2430,2057
2399,2057
2354,2057
2429,1881
2340,1881
2356,1881
2420,1881
2404,1881
2391,1881
2377,1881
2370,1881
2390,1881
2429,1943
2340,1943
2420,1943
2418,1943
2306,1943
2404,1943
2322,1943
2414,1943
2429,1802
2340,1802
2393,1802
2356,1802
2302,1802
2410,1802
2420,1802
2426,1802
2361,1802
2428,1802
2404,1802
2391,1802
2351,1802
2346,1802
2390,1802
2430,1802
2312,1802
2429,2182
2340,2182
2393,2182
2356,2182
2302,2182
2426,2182
2361,2182
2428,2182
2391,2182
2318,2182
2333,2182
2337,2182
2346,2182
2390,2182
2331,2182
2312,2182
2348,2182
2335,2182
2429,1631
2426,1631
2361,1631
2428,1631
2391,1631
2351,1631
2430,1631
2429,1638
2361,1638
2428,1638
2429,1759
2356,1759
2426,1759
2361,1759
2428,1759
2430,1759
2312,1759
2429,2040
2393,2040
2356,2040
2426,2040
2361,2040
2428,2040
2391,2040
2386,2040
2337,2040
2346,2040
2390,2040
2331,2040
2430,2040
2429,2012
2360,2012
2361,2012
2429,1786
2424,1786
2361,1786
2428,1786
2391,1786
2386,1786
2337,1786
2346,1786
2390,1786
2430,1786
2429,1812
2356,1812
2426,1812
2361,1812
2351,1812
2346,1812
2430,1812
2312,1812
2429,2183
2361,2183
2333,2183
2337,2183
2331,2183
2329,2183
2429,2174
2393,2174
2426,2174
2361,2174
2428,2174
2391,2174
2337,2174
2346,2174
2390,2174
2430,2174
2335,2174
2429,2170
2356,2170
2424,2170
2361,2170
2428,2170
2391,2170
2318,2170
2337,2170
2390,2170
2429,2290
2356,2290
2426,2290
2361,2290
2429,1925
2410,1925
2429,2175
2426,2175
2428,2175
2391,2175
2337,2175
2346,2175
2335,2175
2429,1877
2396,1877
2420,1877
2308,1877
2404,1877
2391,1877
2351,1877
2377,1877
2370,1877
2322,1877
2318,1877
2386,1877
2342,1877
2429,1981
2308,1981
2429,1639
2420,1639
2391,1639
2351,1639
2312,1639
2429,1834
2391,1834
2390,1834
2429,1891
2356,1891
2424,1891
2429,1682
2428,1682
2430,1682
2429,1695
2426,1695
2428,1695
2430,1695
2429,2022
2429,2219
2340,1718
2374,1718
2356,1718
2360,1718
2424,1718
2302,1718
2396,1718
2340,1868
2374,1868
2418,1868
2306,1868
2308,1868
2404,1868
2377,1868
2370,1868
2340,1952
2374,1952
2410,1952
2420,1952
2418,1952
2308,1952
2404,1952
2411,1952
2322,1952
2318,1952
2340,2005
2374,2005
2356,2005
2302,2005
2410,2005
2420,2005
2428,2005
2306,2005
2308,2005
2384,2005
2351,2005
2322,2005
2340,1730
2340,1734
2340,1937
2410,1937
2420,1937
2308,1937
2351,1937
2340,1920
2333,1920
2340,1913
2302,1913
2418,1913
2381,1913
2340,1955
2418,1955
2308,1955
2370,1955
2322,1955
2340,2079
2308,2079
2322,2079
2340,2080
2322,2080
2303,2080
2340,1945
2326,1945
2322,1945
2340,1866
2420,1866
2418,1866
2404,1866
2377,1866
2370,1866
2340,1863
2302,1863
2410,1863
2420,1863
2418,1863
2308,1863
2404,1863
2340,2009
2360,2009
2302,2009
2420,2009
2308,2009
2404,2009
2414,2009
2367,2009
2340,1931
2410,1931
2420,1931
2308,1931
2340,1927
2410,1927
2420,1927
2404,1927
2411,1927
2322,1927
2340,1814
2302,1814
2428,1814
2342,1814
2340,2153
2340,2178
2393,2178
2360,2178
2420,2178
2418,2178
2428,2178
2404,2178
2399,2178
2340,2250
2308,2250
2337,2250
2340,2251
2308,2251
2337,2251
2393,1690
2374,1690
2396,1690
2410,1690
2297,1690
2420,1690
2418,1690
2426,1690
2393,1724
2374,1724
2393,2288
2374,2288
2396,2288
2418,2288
2404,2288
2351,2288
2393,2053
2326,2053
2302,2053
2306,2053
2308,2053
2377,2053
2370,2053
2322,2053
2333,2053
2393,1974
2297,1974
2420,1974
2418,1974
2306,1974
2308,1974
2322,1974
2393,1727
2308,1727
2393,1658
2393,1678
2393,1723
2308,1723
2393,1909
2393,1800
2420,1800
2370,1800
2393,2185
2318,2185
2312,2185
2326,2076
2374,2076
2410,2076
2420,2076
2418,2076
2370,2076
2326,2291
2356,2291
2361,2291
2428,2291
2391,2291
2346,2291
2390,2291
2331,2291
2430,2291
2312,2291
2326,2248
2356,2248
2390,2248
2326,1966
2302,1966
2418,1966
2326,1946
2302,1946
2326,2254
2374,1768
2356,1768
2361,1768
2428,1768
2374,1953
2410,1953
2420,1953
2418,1953
2306,1953
2308,1953
2404,1953
2381,1953
2374,1860
2297,1860
2420,1860
2418,1860
2374,1864
2420,1864
2308,1864
2391,1864
2384,1864
2351,1864
2377,1864
2374,1968
2418,1968
2356,1758
2426,1758
2361,1758
2428,1758
2346,1758
2430,1758
2312,1758
2356,2020
2424,2020
2361,2020
2346,2020
2356,1801
2410,1801
2420,1801
2418,1801
2361,1801
2430,1801
2363,1801
2356,2208
2361,2208
2356,2125
2391,2125
2318,2125
2356,1666
2356,1710
2424,1710
2356,1667
2356,1665
2356,1668
2356,1996
2356,2019
2424,2019
2356,1957
2420,1957
2356,2122
2318,2122
2360,1884
2420,1884
2404,1884
2377,1884
2370,1884
2360,1882
2360,2115
2424,2000
2361,2000
2424,2045
2361,2045
2424,1842
2361,1842
2424,2226
2361,2226
2318,2226
2346,2226
2424,2146
2361,2146
2424,2215
2361,2215
2424,1706
2420,1706
2424,2225
2420,2225
2351,2225
2424,2015
2337,2015
2424,1711
2424,1680
2424,1705
2424,1715
2424,1644
2424,1676
2424,1683
2424,2033
2424,1956
2424,2141
2424,2197
2424,2193
2424,2218
2424,2256
2302,1635
2318,1635
2386,1635
2302,1958
2297,1958
2302,1702
2302,1904
2303,1904
2302,2217
2302,2222
2396,2073
2410,2073
2420,2073
2404,2073
2377,2073
2322,2073
2399,2073
2303,2073
2396,1770
2402,1770
2396,1721
2396,1788
2396,2151
2396,2167
2410,1726
2306,1726
2308,1726
2410,1963
2297,1963
2420,1963
2418,1963
2306,1963
2308,1963
2404,1963
2377,1963
2386,1963
2367,1963
2410,1654
2410,1698
2410,1771
2411,1771
2410,1769
2420,1769
2418,1769
2404,1769
2402,1769
2410,1865
2418,1865
2410,1886
2420,1886
2418,1886
2308,1886
2404,1886
2410,1942
2420,1942
2418,1942
2308,1942
2410,1984
2426,1984
2386,1984
2410,2078
2410,1794
2410,1827
2418,1827
2410,2006
2420,2006
2418,2006
2351,2006
2367,2006
2410,1918
2410,2081
2420,2081
2410,1861
2297,1861
2420,1861
2418,1861
2404,1861
2370,1861
2411,1861
2297,1929
2420,1929
2308,1929
2351,1929
2297,1819
2308,1819
2297,1700
2297,2038
2297,2155
2420,2228
2361,2228
2308,2228
2420,1782
2418,1782
2308,1782
2404,1782
2354,1782
2420,1870
2418,1870
2404,1870
2420,1784
2404,1784
2420,1973
2404,1973
2322,1973
2420,1634
2420,1661
2418,1661
2337,1661
2414,1661
2420,1649
2420,1647
2420,1990
2420,1780
2414,1780
2420,1960
2420,1972
2418,1972
2420,2229
2420,2148
2420,2202
2420,2201
2420,2236
2418,1662
2306,1662
2308,1662
2351,1662
2337,1662
2418,1873
2306,1873
2418,1977
2306,1977
2308,1977
2418,2286
2306,2286
2370,2286
2418,1879
2404,1879
2377,1879
2370,1879
2411,1879
2418,1871
2404,1871
2418,2231
2404,2231
2418,1692
2322,1692
2418,1717
2418,1704
2418,1988
2377,1988
2418,1978
2418,1986
2418,2180
2418,2144
2426,2137
2342,2137
2333,2137
2337,2137
2335,2137
2426,1894
2361,1688
2361,1763
2361,1761
2361,2023
2361,2042
2361,2047
2361,1840
2428,1840
2361,2132
2361,2211
2361,2128
2361,2159
2361,2266
2346,2266
2331,2266
2428,1810
2346,1810
2430,1810
2348,1810
2428,2070
2386,2070
2428,2165
2390,2165
2428,2025
2428,1847
2306,1714
2308,1714
2333,1714
2306,1732
2308,1732
2335,1732
2306,1743
2308,1743
2306,1961
2404,1961
2306,1808
2308,1808
2306,1980
2322,1980
2306,2065
2308,2065
2306,1979
2308,1979
2306,2106
2306,2109
2308,1670
2308,1671
2308,1672
2308,1652
2308,1738
2333,1738
2308,1713
2308,1805
2308,1779
2308,1930
2308,1959
2322,1959
2308,1914
2308,2091
2381,2091
2308,2064
2308,1950
2322,1950
2308,1911
2308,1843
2308,2054
2308,2103
2308,2107
2308,2268
2308,2272
2322,2272
2308,2273
2404,1883
2404,2102
2322,2102
2404,2168
2404,2233
2381,1720
2384,1720
2391,2002
2391,2164
2390,2164
2384,1719
2384,1964
2384,2162
2399,2162
2351,1637
2386,1637
2351,1773
2351,1775
2351,2017
2377,2096
2377,1962
2370,1708
2370,1725
2370,1948
2370,2279
2370,2281
2322,1685
2322,1686
2322,2059
2322,2085
2322,1854
2322,1855
2322,2098
2322,2035
2322,1997
2322,2062
2322,1852
2322,1875
2322,2068
2322,1916
2322,1853
2322,2060
2322,1836
2322,2067
2322,2088
2322,2112
2322,2275
2318,2221
2333,1751
2328,1751
2337,1751
2333,2083
2337,2083
2331,2083
2335,2083
2333,2130
2337,2130
2335,2130
2333,2195
2337,2195
2331,2195
2335,2195
2333,2212
2337,2212
2331,2212
2335,2212
2333,2246
2337,2246
2331,2246
2333,2243
2337,2243
2331,2243
2335,2243
2333,2245
2337,2245
2331,2245
2333,2259
2312,2259
2333,1790
2335,1790
2333,1741
2333,1753
2333,1934
2333,1970
2333,1906
2333,1939
2333,1940
2333,1900
2328,1656
2328,2029
2328,1828
2328,1822
2328,1826
2328,1825
2328,1823
2328,1824
2337,1746
2337,1736
2335,1736
2337,1765
2335,1765
2337,1898
2335,1898
2337,1816
2430,1816
2335,1816
2337,1838
2337,2262
2331,2262
2337,2241
2331,2241
2346,1757
2346,2127
2348,2127
2346,2205
2348,2205
2346,2120
2348,2120
2390,1831
2390,2188
2331,1797
2335,1797
2331,1902
2331,1845
2331,1896
2331,2031
2331,2027
2331,2172
2331,2133
2331,2176
2331,2117
2331,2264
2331,2284
2303,2077
2335,2052
2363,1636
2329,2050
2402,2093
2412,1858
2412,2191
